BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
0.07896647447812974,0.019135656722141813,0.00024850876462431096,3.5,55.1,43.9
0.08322864647757726,0.0233739286473203,0.00040317758170408584,3.6,53.1,45.9
0.09341555088276744,0.02680134915923671,0.00039199501646399934,2.9,49.5,49.5
0.10073739637338863,0.029823581553299127,0.00043895619418723357,2.4,51.3,47.7
0.10223383277345519,0.034660960724074916,0.00050261322629762,4.4,50.9,48.1
0.10913103644395994,0.03908820292857762,0.00041112345064295356,3.0,50.9,48.1
0.11008171935308009,0.044251952167478806,0.00050640595802884,2.1,50.0,49.0
0.12341065345286477,0.04909531202302782,0.0011849983413075168,2.6,49.2,49.8
0.1299004184716648,0.05351343245891969,0.00046379323298322163,3.3,49.1,49.9
0.13259163476245575,0.05620741597175651,0.0012288307836456319,2.5,52.5,46.5
0.13715357668174927,0.060295280190691934,0.00123384790743909,2.0,48.8,50.2
0.13811084675953636,0.06319941636787176,0.00037595661576924846,2.1,48.8,50.2
0.13985014525739986,0.06372483188476877,0.0004831017445011858,2.1,49.8,49.2
0.13985014525739986,0.0659074840635237,0.00061859092956945,3.4,50.7,48.3
0.13985014525739986,0.06808266327144151,0.000535354536039301,2.9,48.6,50.4
0.14097634587530852,0.07066999956717976,0.00073032749062085,2.2,49.6,49.4
0.14097634587530852,0.07139016439478015,0.0011888785956268772,2.2,49.3,49.7
0.14266793622768253,0.07457413637310717,0.0029460318260185136,2.8,49.3,49.7
0.14266793622768253,0.07533468651090366,0.00223583506905315,2.7,46.9,52.1
0.14440723472554604,0.0756888569392351,0.00375750549556797,2.7,48.8,50.2
0.14614653322340954,0.07621472554738619,0.0004965914773250164,2.2,51.0,48.0
0.14614653322340954,0.07944123065790785,0.00146213183669716,4.0,44.6,54.4
0.1495998078224286,0.07832728216108226,0.0005504323946731661,3.0,47.5,51.5
0.15518620386611126,0.07889780992807423,0.0013403775233527195,2.6,50.4,48.6
0.15690238013431293,0.08210830458454493,0.0026387296946655935,2.2,47.1,51.9
0.15690238013431293,0.08103440379061873,0.0004356574253268474,1.7,50.5,48.5
0.1604352926529913,0.08376797887370556,0.0008439362973786874,2.5,47.1,51.9
0.16136099932524212,0.0834793030180537,0.0006412798065777504,3.1,46.7,52.3
0.16475547604947688,0.08318586240652083,0.0019290049992321183,2.6,48.6,50.4
0.171204156884198,0.08512783035265398,0.0012041046990235052,3.1,48.4,50.6
0.171204156884198,0.0864277703240071,0.00217068844410915,2.9,46.9,52.1
0.171204156884198,0.08573096863986354,0.00046418787523454165,2.7,51.9,47.1
0.171204156884198,0.0898376803557608,0.0011884110710224057,3.3,50.8,48.2
0.17402046132606616,0.09088648615218027,0.00111078657483836,3.2,49.6,49.4
0.17402046132606616,0.09299936976619327,0.002687979501136906,1.9,48.2,50.8
0.17402046132606616,0.09199384796690112,0.0020839950328974803,2.3,47.2,51.8
0.17402046132606616,0.09080028363112602,0.00175683721687273,2.3,48.0,51.0
0.17402046132606616,0.09038473356253887,0.0007015866181049599,2.2,49.0,50.0
0.17402046132606616,0.0910514268234802,0.001913548949163536,3.4,51.8,47.2
0.17402046132606616,0.09541351952635803,0.0004941618870569561,4.4,47.2,51.8
0.17685783249260728,0.09660760157736906,0.00300441512275705,2.7,46.9,52.1
0.17857400876080895,0.09921959596575505,0.0016787871692839004,2.7,48.1,50.9
0.17857400876080895,0.09866883949024537,0.0006082077825048275,3.9,46.5,52.5
0.17857400876080895,0.09549508134943499,0.0015887658918662,1.9,45.1,53.9
0.17857400876080895,0.0948748617634631,0.00197241169623443,2.9,51.3,47.7
0.17857400876080895,0.09919950252420191,0.003353271573424484,3.5,46.3,52.7
0.17857400876080895,0.09520332759577824,0.0005920516521525158,2.1,48.5,50.5
0.1815569135830366,0.09552518388865279,0.0009551026057947078,2.7,45.4,53.6
0.1815569135830366,0.09410839507925914,0.001162127757417869,3.4,48.3,50.7
0.18324850393541064,0.09457879183137959,0.0038174333048994298,2.8,48.1,50.9
0.18324850393541064,0.09448246541104627,0.003678748313967,2.4,48.8,50.2
0.18324850393541064,0.09452867210278142,0.0005346959466787299,2.1,48.2,50.8
0.18324850393541064,0.09668198165424059,0.00061859092956945,3.7,50.2,48.8
0.18494970610383427,0.09974691739381009,0.0017980604315839658,3.5,45.6,53.4
0.18494970610383427,0.09981948620037072,0.002790215971203874,2.2,45.7,53.3
0.18494970610383427,0.0972882589680882,0.002223138691080946,3.0,48.0,51.0
0.18494970610383427,0.09840261633068846,0.0013958514413947118,2.8,47.9,51.1
0.18494970610383427,0.09873631030836497,0.00417650075254621,4.2,49.0,50.0
0.18494970610383427,0.10152982401616695,0.0004739494850454235,4.3,47.5,51.5
0.1853841797182319,0.10129122586405555,0.00047927879546002996,3.2,47.9,51.1
0.18652335389974817,0.10155183902767188,0.00128355986516124,3.7,48.2,50.8
0.18652335389974817,0.10356150998881204,0.0012339029505855676,3.2,47.2,51.8
0.18652335389974817,0.1028541332172985,0.001359634837038127,2.8,49.4,49.6
0.18652335389974817,0.10385692254398429,0.0006450021378469279,3.8,50.4,48.6
0.18652335389974817,0.10705447544834124,0.0029082145347033,4.8,46.8,52.2
0.18652335389974817,0.10507222363732749,0.00086002023089497,4.3,47.5,51.5
0.18652335389974817,0.10315295465817478,0.00342412504681694,3.6,46.0,53.0
0.18652335389974817,0.1031142938130033,0.0005143521979514794,5.1,46.3,52.7
0.18652335389974817,0.10316124458762858,0.0008542829413590299,3.8,48.2,50.8
0.18652335389974817,0.10007496605846908,0.00260968752108426,2.0,48.6,50.4
0.18652335389974817,0.10128134559430406,0.0007356394832466445,3.2,49.8,49.2
0.18652335389974817,0.10392251962804769,0.002772210336455416,2.8,48.9,50.1
0.18652335389974817,0.10332116839524932,0.00047098702872800996,2.8,49.2,49.8
0.18652335389974817,0.10609407529104145,0.00269652867312828,3.0,50.4,48.6
0.19164262472789187,0.10955852726937551,0.00216185033974778,4.3,47.8,51.2
0.19164262472789187,0.10771662216142619,0.0015301188134488899,4.0,48.5,50.5
0.19278350824855756,0.10803700573068402,0.0011058830270485335,3.9,46.6,52.4
0.19278350824855756,0.1087545263146699,0.003236804034770827,3.5,47.2,51.8
0.19448471041698118,0.11047213407373295,0.0010999980723905975,2.5,47.2,51.8
0.19448471041698118,0.11001700493370048,0.002151137704962562,3.3,45.4,53.6
0.19448471041698118,0.10715607518404294,0.0004920662570682025,1.4,51.8,47.2
0.19617798497279232,0.11227878856768862,0.00255024069878125,3.6,50.1,48.9
0.19617798497279232,0.1081677187018735,0.001244760665176168,2.7,47.2,51.8
0.19617798497279232,0.10545254881495765,0.0013846026861882858,4.0,49.1,49.9
0.19960910729699127,0.10781517050439238,0.0049195579709135325,2.8,45.0,54.0
0.19960910729699127,0.10464748461801354,0.0014791705988887699,3.2,51.9,47.1
0.2041161307345562,0.10936682305352016,0.0020958356151373177,2.5,48.9,50.1
0.2041161307345562,0.11119472964265793,0.00231591075634166,2.9,47.7,51.3
0.2041161307345562,0.11286996045809772,0.002976142566699376,3.3,46.3,52.7
0.2041161307345562,0.10974913110241609,0.0046967881837643765,3.0,47.2,51.8
0.20580940529036734,0.10944486113646774,0.0022370900209576104,3.2,48.2,50.8
0.2092331120034713,0.111523558540916,0.004577557374903081,4.3,46.8,52.2
0.2092331120034713,0.11045497000991614,0.00463941361271892,2.7,49.6,49.4
0.2092331120034713,0.11372155715605829,0.002264923268686,2.9,49.0,50.0
0.21097095977185912,0.11271018048189763,0.00342363660383738,2.5,48.5,50.5
0.21273238657924082,0.11081958457440252,0.0003898198247013329,2.0,45.0,54.0
0.21273238657924082,0.10886287576175084,0.004245653063535059,2.7,50.1,48.9
0.21450448336644787,0.11382097454665929,0.0011664745719228134,4.2,49.3,49.7
0.21450448336644787,0.11518599279453638,0.00137004345159172,4.2,49.1,49.9
0.21450448336644787,0.11278109791377747,0.0020029496268420444,2.5,47.9,51.1
0.21450448336644787,0.11385952293378505,0.003422262054641359,3.2,47.0,52.0
0.21450448336644787,0.11429187120947246,0.00240945443298266,3.6,48.5,50.5
0.21450448336644787,0.11459067357985737,0.0032042581064489393,5.5,49.3,49.7
0.21450448336644787,0.11573071536972823,0.0026259816425784803,4.0,48.1,50.9
0.21450448336644787,0.11636025659032538,0.002914190431223222,4.0,49.5,49.5
0.21450448336644787,0.1194096964316524,0.00433352171996658,3.6,45.2,53.8
0.21450448336644787,0.11554186439548106,0.00077052180091384,4.1,48.8,50.2
0.21450448336644787,0.11396859513202182,0.001969901145267153,3.9,51.2,47.8
0.21450448336644787,0.12063627927291336,0.0040780356653964695,3.9,51.3,47.7
0.216197757922259,0.12288976383375835,0.005522927233103701,3.3,47.1,51.9
0.216197757922259,0.12056434180049894,0.00408225242049204,3.7,47.8,51.2
0.216197757922259,0.12142719877780166,0.004149424340241672,4.1,48.9,50.1
0.216197757922259,0.11909780554954597,0.00229242764548285,3.8,48.8,50.2
