BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
0.060101967143429205,0.020494669296660238,0.00045870929646735,0.4,15.7,13.4
0.06945048933764889,0.02520672974898442,0.0005487082149522699,0.6,14.4,15.1
0.07221622493702985,0.028094815611723268,0.0013846026861882858,0.9,13.1,16.2
0.07475482333565867,0.02774064531627458,0.0014757366664077435,0.8,13.7,15.5
0.07625125973572523,0.0308442418086249,0.0027217524542639342,0.6,14.9,14.5
0.08250833735943536,0.03662256008624087,0.00120806774514858,0.4,13.6,15.5
0.08250833735943536,0.039085427553788424,0.005026168870235886,0.9,13.0,16.5
0.08807785277265395,0.04133967671582789,0.00113346727949073,0.2,14.3,14.9
0.09166668581033773,0.0445347109047167,0.00055076000037086,0.3,14.0,15.3
0.09166668581033773,0.04755821866734013,0.00439980263750039,0.8,12.7,16.5
0.09273212837987471,0.04798723130023062,0.007008261721806059,1.1,13.5,16.1
0.09273212837987471,0.05114501065063035,0.0034538970099501506,1.7,12.8,16.7
0.09583341789837094,0.052567140005306344,0.0072592027030225865,2.0,14.4,14.9
0.09583341789837094,0.05788201024931687,0.008399349444437357,1.9,13.5,15.8
0.09929843556580921,0.05751526536034699,0.00380130169115978,2.8,13.0,16.4
0.10117482514718015,0.05816132834278266,0.00723154882145238,2.6,13.9,15.4
0.1042483981753344,0.05906962409625275,0.0084265658331293,3.0,13.6,16.0
0.1042483981753344,0.06287151129952867,0.0040486105762111,3.0,12.0,17.0
0.10529894480955737,0.06183075904014266,0.0034173736184086798,2.9,11.7,17.6
0.10529894480955737,0.06126589443935976,0.00652638555202502,2.8,13.3,15.8
0.10743122806826436,0.06276872595393285,0.005339571880383751,2.6,11.4,18.1
0.10865612800538962,0.05926240026933201,0.00129385022009575,2.1,13.0,16.3
0.10865612800538962,0.06121363667694294,0.00437188355006555,2.0,12.6,17.0
0.10865612800538962,0.060358285689927016,0.00416518624485848,2.6,13.3,16.1
0.10865612800538962,0.06307709674673759,0.011293416946517941,2.4,12.4,16.8
0.11345261846837851,0.06608809776137899,0.01215729714982387,2.4,11.4,18.0
0.11345261846837851,0.06332569599809765,0.00585655389135194,2.2,12.0,17.4
0.11629930718868789,0.06285218383352262,0.00410188225694855,2.4,12.6,16.9
0.11629930718868789,0.06733793092141119,0.00727333895594912,2.1,11.2,18.4
0.11629930718868789,0.061462600746156115,0.006119925556731741,2.1,11.9,17.4
0.11629930718868789,0.061715814775447006,0.006504822182053111,2.4,12.9,16.4
0.11629930718868789,0.06795058293468947,0.0028651064714814442,2.8,11.1,18.4
0.11629930718868789,0.06588976610832128,0.004758154556270671,2.1,12.3,17.3
0.11999243302053553,0.06253620437532346,0.0042543583229595,2.0,12.4,17.2
0.11999243302053553,0.06207641406266904,0.0026239712391152104,1.9,12.1,17.4
0.11999243302053553,0.06256751729648333,0.006284151645963071,2.0,11.9,17.5
0.11999243302053553,0.06488513527004536,0.00891423862268179,1.8,11.6,17.8
0.11999243302053553,0.06405443060706487,0.004859681698826495,1.6,12.0,17.3
0.12395709531532446,0.06581283236809263,0.00236479027680053,1.3,11.2,18.0
0.12746849060039503,0.0637667194030019,0.00393949871610612,1.3,11.9,17.5
0.12746849060039503,0.06722444667281618,0.00499572984004306,2.1,11.5,17.5
0.12928522685087174,0.06885816421062373,0.00469982749419621,1.4,12.9,16.4
0.12928522685087174,0.06982950163536031,0.0033247819586987104,1.8,12.7,16.5
0.12928522685087174,0.0714492459854091,0.004796239655326683,2.0,11.7,17.6
0.13044957804298357,0.07176177089305293,0.010229219551551741,2.0,11.1,18.0
0.13044957804298357,0.06808666372935615,0.0070385949822827695,1.8,13.3,15.9
0.13044957804298357,0.07107035012664323,0.017153159129445143,1.8,11.7,17.6
0.13044957804298357,0.07101324453804218,0.003855363562836166,1.9,12.5,17.0
0.13399377161739773,0.07341739847156184,0.004272345363306713,2.6,11.1,18.1
0.13399377161739773,0.06828700326746359,0.00496008255099438,1.2,12.0,17.4
0.13399377161739773,0.06625657484895722,0.00298503707093161,1.9,12.5,16.8
0.13594971780415221,0.06742833417351304,0.00444837223872834,1.9,12.7,16.8
0.13594971780415221,0.06936958368939092,0.008125354406924573,1.9,12.9,16.7
0.13594971780415221,0.06941875681545788,0.0040128480951003975,1.9,14.2,15.5
0.1388103557758075,0.07478641250999511,0.008585275380893615,1.1,12.7,16.7
0.1388103557758075,0.07518260835956939,0.01002507953172862,1.6,11.9,17.6
0.1388103557758075,0.0700748910800903,0.006655625212147758,1.4,12.1,17.1
0.1388103557758075,0.06523548884784477,0.007114434996154209,0.9,13.2,16.1
0.14242604385504193,0.06647598537755886,0.004087009172595798,1.7,13.8,15.5
0.14242604385504193,0.06643033120229115,0.0033109153538852997,1.5,14.1,15.2
0.14242604385504193,0.07102769004435161,0.00796150881976061,2.3,12.0,17.3
0.14242604385504193,0.0675856170651373,0.0035627915850327306,1.7,12.7,16.7
0.14242604385504193,0.06555644756529892,0.007705583725050404,2.0,12.9,16.5
0.14242604385504193,0.06750690437666826,0.005660472154567745,2.3,12.9,16.3
0.14242604385504193,0.06731336696409874,0.004779411090982696,1.8,14.2,14.9
0.14242604385504193,0.0698427154176667,0.00325024159873846,2.3,14.0,15.3
0.14242604385504193,0.06947345930478636,0.007875010671173386,2.2,12.1,17.2
0.14242604385504193,0.06707878710317113,0.005241059127786357,1.8,12.8,16.9
0.14242604385504193,0.06760920557160884,0.00646294881843634,1.6,12.3,17.2
0.14242604385504193,0.06370153561132383,0.00519906655261849,1.5,13.5,15.9
0.14242604385504193,0.06826329050699943,0.0098322223192984,1.4,12.7,16.5
0.14414222012324363,0.06793302096447747,0.00621111608459646,1.4,12.9,16.3
0.14414222012324363,0.0678136837645048,0.00638462294712322,1.4,12.9,16.3
0.14414222012324363,0.0669954673112067,0.0051770474507078406,1.8,13.9,15.4
0.14414222012324363,0.06914948205298817,0.0029826450442415166,1.7,12.8,16.4
0.14414222012324363,0.06872020815864312,0.007763536630471034,1.7,13.0,16.4
0.14414222012324363,0.07000711818274032,0.00754267421623705,2.4,12.6,16.8
0.15107099384493944,0.06602078421294849,0.006333923353551781,1.9,13.2,16.1
0.15107099384493944,0.06568216766508861,0.0036323764367470505,1.2,13.2,16.0
0.15107099384493944,0.06686375692502988,0.00478787240097457,0.7,13.2,16.4
0.15107099384493944,0.0686364596567852,0.002166405918823406,1.2,12.6,16.6
0.15107099384493944,0.06769050554502828,0.00422018624554286,1.0,13.9,15.6
0.15107099384493944,0.07318845738929969,0.00999529734677303,1.2,13.1,16.1
0.15107099384493944,0.07234674645616815,0.004153867533621506,1.3,11.6,17.7
0.15107099384493944,0.06449237624931817,0.00273410764636745,1.4,13.2,16.3
0.15107099384493944,0.06924774668295067,0.005013055707943748,1.0,13.3,16.0
0.15107099384493944,0.07057717967065455,0.005649745290374209,1.5,11.7,17.4
0.1527642684007506,0.06970574172238551,0.006133885907369001,1.2,12.5,17.0
0.1527642684007506,0.07103549743004471,0.0056252983189135995,1.7,12.7,16.7
0.1527642684007506,0.06841633180254744,0.004073861785074013,1.2,13.6,15.8
0.1527642684007506,0.06355807029105816,0.00467695416670182,1.0,14.1,15.1
0.1527642684007506,0.0700169228198721,0.0040439355749724,1.1,11.8,17.7
0.1527642684007506,0.06726280288630726,0.004681949891332323,1.3,11.7,17.4
0.1527642684007506,0.06783517532360014,0.0016735525566595958,1.7,13.2,16.1
0.1527642684007506,0.07305266225044317,0.00814719241275961,2.1,13.2,15.9
0.1527642684007506,0.07251416564627342,0.006898676618075444,0.8,13.1,16.2
0.1527642684007506,0.07215404884860557,0.00606200083556206,1.2,12.3,16.8
0.1527642684007506,0.06957981539997378,0.0038046730058939595,1.2,13.9,15.5
0.1527642684007506,0.07374137494603258,0.01346857245011398,1.7,12.8,16.6
0.1527642684007506,0.07041332355460296,0.0033456215352590337,1.1,12.3,17.0
