BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
0.0765127680002761,0.02089989301768095,0.0003421415573925333,4.2,55.7,43.3
0.09297468443714747,0.0253681695511122,0.00045013875942732,4.2,50.3,48.7
0.09979989300540602,0.02789377320547874,0.00029620283519844737,4.3,49.2,49.8
0.10317271898684355,0.030097057873319167,0.00038732456767092435,3.9,46.9,52.1
0.10766615211124245,0.03246615992304345,0.00101937645721393,3.6,45.8,53.2
0.10954254169261339,0.033042652297821676,0.0003370923865131258,3.7,50.8,48.2
0.11169046773692562,0.03594662695358664,0.00041969888050182583,4.2,50.1,48.9
0.11169046773692562,0.03912846096782392,0.0003303141951739379,3.7,49.4,49.6
0.12055151179115127,0.04080529829054885,0.0004043589727678504,3.4,48.9,50.1
0.12515726823751636,0.043295419397584065,0.00045013875942732,2.7,47.2,51.8
0.128850394069364,0.04491491397558367,0.00088542171266697,3.0,50.9,48.1
0.128850394069364,0.04885263650662565,0.0003947310313516671,2.5,46.8,52.2
0.13066713031984073,0.05149001852148223,0.0011171432189705044,3.4,47.4,51.6
0.13066713031984073,0.05326484635428354,0.00083019861903086,3.0,49.5,49.5
0.13066713031984073,0.057121118326821485,0.0019166780535905402,3.9,44.4,54.6
0.13066713031984073,0.0580743290032059,0.0012034539869374536,4.6,45.7,53.3
0.13066713031984073,0.05902586736369556,0.0005182683360267757,3.4,47.0,52.0
0.13066713031984073,0.06241128650426525,0.0008216170934008058,3.6,46.7,52.3
0.13066713031984073,0.06344655046288375,0.00168006225360358,2.7,46.8,52.2
0.13066713031984073,0.06377340803127718,0.0015271025061721658,3.7,44.7,54.3
0.13066713031984073,0.06447348066539635,0.002143436675542429,3.4,46.1,52.9
0.1324838665703174,0.06519839439827507,0.00217755937805671,4.2,46.0,53.0
0.1324838665703174,0.06505661128919624,0.0023788564196463016,2.7,40.6,58.4
0.1324838665703174,0.06447604899195762,0.00131416903831971,2.7,44.3,54.7
0.1376405435048062,0.06683991574707261,0.00046174885157472577,2.3,43.2,55.8
