BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
0.07504621144552993,0.02094238350654437,0.0003048860136994458,5.2,64.1,34.9
0.08920190206970827,0.02992299213331962,0.00037090159808423934,10.2,52.8,46.2
0.09176036688361718,0.03445491368273275,0.0002773012148344128,14.4,57.8,41.2
0.10546767786561348,0.041648953814268766,0.0005449773637812301,20.1,53.1,45.9
0.10824168419387725,0.04700927161977432,0.0003620061773419416,27.3,49.4,49.6
0.11879217625068231,0.04912426277245014,0.0002355071739470829,28.6,49.0,50.0
0.1328807918581802,0.05420110431997671,0.0007074862162924858,28.1,42.5,56.5
0.1345819940266038,0.0531517317173306,0.0002631400200108775,22.7,46.0,53.0
0.1378485663818642,0.05508551594074783,0.00045013875942732,19.7,46.4,52.6
0.1378485663818642,0.05802779273357526,0.00032236832623507017,20.1,47.5,51.5
0.1398188394549845,0.06262508668634147,0.0005234203749186859,17.6,44.7,54.3
0.14270276997732084,0.06444128148234782,0.0003562164039808516,16.4,42.8,56.2
0.14386712116943268,0.06366129546962858,0.0003442283585904637,19.8,48.6,50.4
0.14386712116943268,0.06932962226537483,0.0004983344216975201,21.8,41.9,57.1
0.14558329743763435,0.06780176103001345,0.00040634260098841807,22.1,46.8,52.2
0.14929181809074032,0.0706073967368064,0.0007070803210836404,21.9,46.5,52.5
0.14929181809074032,0.0728581517021368,0.00040404377077267,19.5,50.4,48.6
0.15587374959422137,0.08025746480923719,0.0004222246993646617,19.4,45.5,53.5
0.15756533994659544,0.08135588792501618,0.00037391909384235615,18.4,46.0,53.0
0.16786793797903782,0.08775592307104946,0.00035541092383055016,20.4,42.0,57.0
0.16786793797903782,0.08497702980548803,0.0011834065658515415,19.2,44.7,54.3
0.17469330355351012,0.08952104674347755,0.0009712539791279304,18.5,43.3,55.7
0.1764094798217118,0.09193536528826064,0.00033076348956948313,18.6,41.2,57.8
0.1764094798217118,0.09035799007476296,0.001823774322228086,19.1,43.3,55.7
0.1764094798217118,0.08966561972448038,0.00045931039492673,17.2,44.5,54.5
0.1764094798217118,0.09342418787913065,0.0007112645501690503,17.7,44.4,54.6
0.1764094798217118,0.09437461578697338,0.001627661362679556,18.7,44.0,55.0
0.1764094798217118,0.09573219770080946,0.0003944774767136074,17.4,42.5,56.5
0.17810107017408583,0.09641614989993003,0.0004568452737496215,18.5,41.8,57.2
0.17810107017408583,0.0974408945336887,0.0020156618430748545,18.1,39.8,59.2
0.17810107017408583,0.09360312888303648,0.0013418959020131099,18.6,43.3,55.7
0.17810107017408583,0.0971439449268312,0.00047130526436753436,17.4,42.5,56.5
0.1781326335796221,0.09977940286026793,0.0003933627972286472,19.0,43.7,55.3
0.1781326335796221,0.09961856418800628,0.00040710048375549744,19.3,44.6,54.4
0.18264717328955668,0.10053090238580861,0.0004934088958167589,17.2,44.6,54.4
0.18264717328955668,0.10162395410991183,0.0022886251531118304,17.6,46.7,52.3
0.18264717328955668,0.10134045562140644,0.00136356923970276,18.1,48.7,50.3
0.18264717328955668,0.10839689291448287,0.0013545947508813393,20.0,43.3,55.7
0.18788239844746227,0.10867987036012727,0.00069900512417132,19.2,44.2,54.8
0.18788239844746227,0.1118244058861039,0.00057196883891453,19.2,42.7,56.3
0.18788239844746227,0.10955867773676169,0.0025982729690901397,20.4,43.8,55.2
0.18957796256250203,0.10574955557629248,0.00212841044662231,17.2,46.7,52.3
0.19127352667754177,0.11101206857836274,0.0021138650159832502,18.8,43.3,55.7
0.19210660203159022,0.10867699412045326,0.0005162658044604846,18.6,46.2,52.8
0.19210660203159022,0.10895959862285616,0.00106815268785086,18.4,45.6,53.4
0.19210660203159022,0.11338667316933126,0.0014538387381566036,18.1,44.1,54.9
0.19288825300993612,0.11103485105142419,0.0004831813570228,18.4,44.9,54.1
0.19457984336231016,0.1105551154805096,0.00056787296236268,18.1,43.9,55.1
0.19457984336231016,0.1137822171567627,0.0015331793642613858,17.8,41.8,57.2
0.19457984336231016,0.11055197750933887,0.00034345511196404627,18.2,49.2,49.8
0.19627540747734992,0.11843941367437538,0.0016835668330479957,18.1,44.1,54.9
0.19627540747734992,0.1163427461507768,0.0024414339002933037,18.3,41.7,57.3
0.19627540747734992,0.11142311964549331,0.0007034829060156335,18.6,50.0,49.0
0.19969911419045389,0.12216514684845081,0.002069027551820506,18.7,40.6,58.4
0.19969911419045389,0.11666143852873714,0.00060638657550473,18.1,46.5,52.5
0.19969911419045389,0.11983632385692185,0.0005428933454478923,17.6,44.9,54.1
0.19969911419045389,0.11750047899224218,0.0003416025142057816,18.4,48.2,50.8
0.19969911419045389,0.12319814276923018,0.00324453408990307,17.7,47.5,51.5
0.19969911419045389,0.12556129725225434,0.0015368655310702439,18.5,42.1,56.9
0.19969911419045389,0.12123623542549751,0.0012119641336890699,17.5,44.0,55.0
0.19969911419045389,0.11880567257596406,0.00136848911416537,16.8,46.5,52.5
0.19969911419045389,0.12204041318066268,0.0008178487395802736,17.5,46.1,52.9
0.20140388925018798,0.12149101115766321,0.0022406888796500752,18.0,46.6,52.4
0.20140388925018798,0.12312330264891483,0.00101433862913036,17.9,43.5,55.5
0.20140388925018798,0.1216119345669389,0.0006418908006821374,16.8,44.6,54.4
0.20140388925018798,0.12300404130464737,0.0014176186916620434,18.1,44.6,54.4
0.20140388925018798,0.12133605009263486,0.0012773516242117699,19.6,46.5,52.5
0.20140388925018798,0.12636329744073407,0.00179543981608692,18.5,40.8,58.2
