# {'seed': 804962, 'leaf_prob': 0.1, 'mutation_prob': 0.3, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.05921276605688419,0.017923826345261944,0.00031796836904549107,5,53,46
G1,0.05921276605688419,0.02012632824444132,0.00048318135702285925,2,49,50
G2,0.05921276605688419,0.022325183397111762,0.00031796836904549107,0,49,50
G3,0.1088976229257454,0.024840746126607853,0.00048318135702285925,1,50,49
G4,0.1088976229257454,0.027571332348146318,0.00048318135702285925,2,54,45
G5,0.1088976229257454,0.030047915289133035,0.00031796836904549107,0,52,47
G6,0.1088976229257454,0.02976791306890471,0.00048318135702285925,0,56,43
G7,0.1088976229257454,0.03364376209652256,0.00048318135702285925,4,55,44
G8,0.1088976229257454,0.036571759652186085,0.00048318135702285925,0,55,44
G9,0.1088976229257454,0.038663377541947506,0.00048318135702285925,0,49,50
G10,0.1088976229257454,0.039879378583576,4.09297286671355e-05,0,54,45
G11,0.1088976229257454,0.04274278056495792,0.00031796836904549107,0,47,52
G12,0.1088976229257454,0.04470349341032285,0.00048318135702285925,2,46,53
G13,0.1088976229257454,0.04520151673201382,0.00048318135702285925,3,37,62
G14,0.1088976229257454,0.04075461658421837,1.356957979045803e-05,2,54,45
G15,0.1088976229257454,0.042969375048484165,0.00031796836904549107,1,56,43
G16,0.1088976229257454,0.04645115767833402,5.514778287443675e-06,0,45,54
G17,0.1088976229257454,0.044835735293859466,0.00048318135702285925,0,52,47
G18,0.1088976229257454,0.04927144032466641,0.00048318135702285925,1,53,46
G19,0.1088976229257454,0.04936426961407871,0.00048318135702285925,1,36,63
G20,0.1088976229257454,0.04458154385213617,0.00031796836904549107,0,56,43
G21,0.1088976229257454,0.04856062642274808,0.00048318135702285925,4,54,45
G22,0.1088976229257454,0.051423139534754025,0.0012940641521512217,0,62,37
G23,0.1088976229257454,0.05645627552571284,0.00048318135702285925,0,58,41
G24,0.1088976229257454,0.057368548872525196,0.0009036810677518624,1,57,42
G25,0.1088976229257454,0.06084033433505146,1.356957979045803e-05,0,43,56
G26,0.1088976229257454,0.05913546332440964,0.00048318135702285925,2,55,44
G27,0.1088976229257454,0.06039107025523255,2.5383490428103392e-05,3,62,37
G28,0.1088976229257454,0.06608632808862344,0.01642878142988612,1,55,44
G29,0.1088976229257454,0.06693638184435068,0.00048318135702285925,0,52,47
G30,0.1088976229257454,0.06774125004309667,0.00031796836904549107,3,47,52
G31,0.1088976229257454,0.07046484011303895,0.0009036810677518624,0,44,55
G32,0.1088976229257454,0.0697574604038744,0.00048318135702285925,0,45,54
G33,0.1088976229257454,0.07275969937380782,0.00048318135702285925,1,36,63
G34,0.11329591402694064,0.06679125573148696,0.00048318135702285925,1,42,57
G35,0.11329591402694064,0.0694636394725516,0.00018744445845371883,0,40,59
G36,0.11329591402694064,0.07197237600817617,0.00048318135702285925,1,31,68
G37,0.11329591402694064,0.06704848168780304,0.00018744445845371883,0,45,54
G38,0.11329591402694064,0.07165761108650874,0.00048318135702285925,1,36,63
G39,0.11329591402694064,0.07106641356789474,0.00048318135702285925,0,40,59
G40,0.11329591402694064,0.07598845787096241,0.00048318135702285925,3,32,67
G41,0.11329591402694064,0.07204151353931473,0.006493098645276794,1,31,68
G42,0.11329591402694064,0.07137841485035192,0.00048318135702285925,1,38,61
G43,0.11329591402694064,0.07071308405841532,0.00048318135702285925,1,39,60
G44,0.11329591402694064,0.06836255778025536,0.00018744445845371883,1,43,56
G45,0.11329591402694064,0.07089432576452852,0.00048318135702285925,0,43,56
G46,0.11329591402694064,0.07156883175152089,0.00048318135702285925,1,39,60
G47,0.11329591402694064,0.06659420643870254,0.00043746016120260685,1,54,45
G48,0.11329591402694064,0.07225914334883182,0.00048318135702285925,1,44,55
G49,0.11329591402694064,0.0686493063586238,0.00048318135702285925,1,45,54
G50,0.11329591402694064,0.06664863602040552,0.00048318135702285925,1,53,46
G51,0.11329591402694064,0.06867625020483757,0.00048318135702285925,0,47,52
G52,0.11329591402694064,0.0689233416750975,0.00048318135702285925,2,53,46
G53,0.11329591402694064,0.07480348756094048,0.00048318135702285925,2,45,54
G54,0.11329591402694064,0.0720058810446809,0.00048318135702285925,1,52,47
G55,0.11329591402694064,0.0741864121401973,0.00048318135702285925,2,44,55
G56,0.11329591402694064,0.06526824682599983,0.00048318135702285925,1,54,45
G57,0.11329591402694064,0.07196517421059244,0.00048318135702285925,1,50,49
G58,0.11329591402694064,0.07025506829877322,0.00048318135702285925,0,52,47
G59,0.11329591402694064,0.06824365675690347,0.00048318135702285925,2,49,50
G60,0.11329591402694064,0.07245580951943685,0.00048318135702285925,2,53,46
G61,0.11329591402694064,0.07444714050343777,0.00048318135702285925,2,46,53
G62,0.11329591402694064,0.07169468350917774,0.00048318135702285925,0,49,50
G63,0.11329591402694064,0.06939641694410498,0.00048318135702285925,0,50,49
G64,0.11329591402694064,0.06749185252424905,0.00048318135702285925,3,38,61
G65,0.11329591402694064,0.05907813285570902,0.00048318135702285925,3,39,60
G66,0.11329591402694064,0.05514151330634617,0.00020485392158005666,1,50,49
G67,0.11329591402694064,0.061351531276826445,0.00048318135702285925,0,47,52
G68,0.11329591402694064,0.06341246784986226,0.00048318135702285925,1,54,45
G69,0.11329591402694064,0.06599245326608069,0.00048318135702285925,1,53,46
G70,0.158915333219876,0.06942718551626399,0.00048318135702285925,0,41,58
G71,0.158915333219876,0.06359307719248189,0.00031796836904549107,1,44,55
G72,0.158915333219876,0.06206873032849305,0.00048318135702285925,1,45,54
