# {'seed': 855858, 'leaf_prob': 0.05, 'mutation_prob': 0.3, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.10563401786440331,0.018748616456516043,0.00031796836904549107,2,61,38
G1,0.10563401786440331,0.02336249943290805,1.356957979045803e-05,3,59,40
G2,0.10563401786440331,0.030960409758824584,0.00048318135702285925,2,47,52
G3,0.12380138036917034,0.033315704906689,0.00048318135702285925,0,47,52
G4,0.12380138036917034,0.035197911890782765,0.00048318135702285925,1,49,50
G5,0.12380138036917034,0.04205007768461928,0.00048318135702285925,4,54,45
G6,0.12380138036917034,0.05193626920846341,0.00048318135702285925,2,58,41
G7,0.12380138036917034,0.06659565026951507,0.00048318135702285925,3,47,52
G8,0.12380138036917034,0.0716043896509987,0.00031796836904549107,5,56,43
G9,0.12380138036917034,0.08301843000863242,0.016781291760210985,4,45,54
G10,0.12380138036917034,0.07896149554357554,0.004795179494021303,3,49,50
G11,0.12380138036917034,0.0823273777579013,0.00048318135702285925,1,50,49
G12,0.12380138036917034,0.0818017204619911,0.00048318135702285925,3,43,56
G13,0.12380138036917034,0.07954906434003253,0.00048318135702285925,0,57,42
G14,0.12380138036917034,0.08954813888416291,0.00048318135702285925,1,44,55
G15,0.12380138036917034,0.08807540948438743,0.0009036810677518624,1,56,43
G16,0.14152234824124107,0.09773111589017475,0.001668923246851492,4,51,48
G17,0.14152234824124107,0.09697846604096629,0.00048318135702285925,0,46,53
G18,0.14152234824124107,0.09369900969446027,0.0009036810677518624,2,49,50
G19,0.14152234824124107,0.09219402701829417,0.00048318135702285925,3,47,52
G20,0.158915333219876,0.09002913723289707,0.00048318135702285925,0,48,51
G21,0.158915333219876,0.0880628496618343,0.00031796836904549107,0,56,43
G22,0.17607709590189274,0.09858583965857724,0.004795179494021303,3,51,48
G23,0.17607709590189274,0.10103286538661202,0.004795179494021303,1,41,58
G24,0.17607709590189274,0.09507601054892685,0.00048318135702285925,1,59,40
G25,0.17607709590189274,0.10164434551358703,0.0001675454098696106,2,57,42
G26,0.17607709590189274,0.1071900324004309,0.00031796836904549107,1,52,47
G27,0.17607709590189274,0.1079034807242377,0.00048318135702285925,1,57,42
G28,0.17607709590189274,0.11216593618071771,0.00048318135702285925,0,52,47
G29,0.17607709590189274,0.11604097232471389,0.00048318135702285925,0,49,50
G30,0.17607709590189274,0.12528647848472665,0.0017472033477151472,0,51,48
G31,0.17607709590189274,0.13858993430375136,0.0004462945456119166,1,44,55
G32,0.17607709590189274,0.12699079295148072,0.00048318135702285925,1,39,60
G33,0.1930891175861288,0.12432363607770126,0.0004462945456119166,0,39,60
G34,0.1930891175861288,0.12758545290757534,0.0004462945456119166,0,45,54
G35,0.1930891175861288,0.1349631359297461,0.00048318135702285925,1,33,66
G36,0.1930891175861288,0.13113912410246417,4.09297286671355e-05,3,40,59
G37,0.1930891175861288,0.13928275627149378,0.00018744445845371883,1,33,66
G38,0.1930891175861288,0.1352136415144016,0.00048318135702285925,1,41,58
G39,0.1930891175861288,0.13626004797632063,0.00031796836904549107,2,41,58
G40,0.1930891175861288,0.137382426500549,0.0004462945456119166,1,44,55
G41,0.1930891175861288,0.14231255851285515,0.00048318135702285925,0,41,58
G42,0.1930891175861288,0.14503726854472257,0.0017472033477151472,0,39,60
G43,0.1930891175861288,0.14442322722546463,0.00048318135702285925,2,39,60
G44,0.1930891175861288,0.13142194416446554,0.00048318135702285925,1,50,49
G45,0.1930891175861288,0.13163422608600808,0.00048318135702285925,4,47,52
G46,0.1930891175861288,0.14247762123813212,0.00048318135702285925,1,40,59
G47,0.1930891175861288,0.12746337549307307,0.00048318135702285925,0,44,55
G48,0.1930891175861288,0.13467679318395498,0.00048318135702285925,1,46,53
G49,0.1930891175861288,0.13861201199467885,0.0017472033477151472,2,47,52
G50,0.1930891175861288,0.13798837060365515,0.008174555607633124,0,55,44
G51,0.1930891175861288,0.1433554220027258,0.0004462945456119166,0,52,47
G52,0.1930891175861288,0.14532785488147615,0.00048318135702285925,0,38,61
G53,0.1930891175861288,0.13042859507126264,0.0009036810677518624,2,41,58
G54,0.1930891175861288,0.13528060999316294,0.00048318135702285925,3,48,51
G55,0.1930891175861288,0.13150126220895467,0.00048318135702285925,5,44,55
G56,0.1930891175861288,0.12144942827587131,0.007056250846448204,2,45,54
G57,0.1930891175861288,0.1329320996370644,0.0009036810677518624,0,40,59
G58,0.1930891175861288,0.1280736577582762,0.0017472033477151472,1,44,55
G59,0.1930891175861288,0.12942679130569792,7.256214972115208e-05,0,53,46
G60,0.1930891175861288,0.14257813157438476,0.00048318135702285925,1,49,50
G61,0.1930891175861288,0.14363260771024686,0.0017472033477151472,3,39,60
G62,0.1930891175861288,0.14006470706653107,0.00048318135702285925,1,46,53
G63,0.1930891175861288,0.14968069922982752,0.0017472033477151472,3,44,55
G64,0.1930891175861288,0.1417642241122114,0.0004462945456119166,1,46,53
G65,0.2100218631442403,0.14525960602461307,0.00031796836904549107,0,50,49
G66,0.2100218631442403,0.1464672709913904,0.0009036810677518624,4,48,51
G67,0.2100218631442403,0.1444767836034679,0.00048318135702285925,5,49,50
G68,0.2100218631442403,0.14970897951548057,0.0004462945456119166,4,56,43
G69,0.2100218631442403,0.14756022401311056,0.00048318135702285925,1,51,48
G70,0.2100218631442403,0.14936886600414187,0.00048318135702285925,3,48,51
G71,0.2100218631442403,0.14281719537617726,0.00048318135702285925,2,51,48
G72,0.2100218631442403,0.14136714536581235,0.0017472033477151472,2,44,55
G73,0.2100218631442403,0.13985758707379645,0.00048318135702285925,5,55,44
G74,0.2100218631442403,0.14148501845041728,0.00048318135702285925,3,43,56
G75,0.2100218631442403,0.13905076597210675,0.00048318135702285925,1,50,49
G76,0.2100218631442403,0.1324172012309134,0.0017472033477151472,3,53,46
G77,0.2100218631442403,0.14426894861783876,0.016781291760210985,0,48,51
