# {'seed': 540507, 'leaf_prob': 0.1, 'swap_terminal_prob': 0.4, 'swap_operator_prob': 0.4, 'crossover_prob': 0.5, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 50, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.0960613170865325,0.021163425602718475,0.00048318135702285925,3,56,43
G1,0.0960613170865325,0.026669015399241672,4.09297286671355e-05,0,58,41
G2,0.0960613170865325,0.02960598314715089,0.00048318135702285925,1,50,49
G3,0.0960613170865325,0.03228478782719481,0.00048318135702285925,1,47,52
G4,0.0960613170865325,0.034487916509826654,0.00020485392158005666,2,63,36
G5,0.0960613170865325,0.04277646123598181,0.00048318135702285925,3,49,50
G6,0.0960613170865325,0.04537265459946365,0.00048318135702285925,2,43,56
G7,0.0960613170865325,0.04700397677916201,0.004022814419889149,1,47,53
G8,0.0960613170865325,0.051674811753342265,0.007056250846448204,3,45,55
G9,0.11914944604218713,0.05300204773297592,0.00031796836904549107,0,36,63
G10,0.11914944604218713,0.04787573967056927,0.0009036810677518624,0,53,47
G11,0.11914944604218713,0.04971416840942188,0.004022814419889149,0,45,55
G12,0.11914944604218713,0.05058428862896897,0.0017472033477151472,0,48,51
G13,0.11914944604218713,0.05364123025012853,0.00048318135702285925,1,46,53
G14,0.11914944604218713,0.056996930848914856,0.0017472033477151472,0,55,44
G15,0.11914944604218713,0.06936422755861908,0.0012940641521512217,0,49,50
G16,0.11914944604218713,0.0760879060456079,0.00048318135702285925,1,47,53
G17,0.11914944604218713,0.0792221885882208,0.00048318135702285925,0,45,54
G18,0.11914944604218713,0.08367050156547587,0.00048318135702285925,0,37,62
G19,0.11914944604218713,0.08914203090370108,0.007749803551499678,0,32,67
G20,0.11914944604218713,0.09203990582083924,0.00048318135702285925,0,27,73
G21,0.11914944604218713,0.09464921975208358,0.00048318135702285925,1,21,78
G22,0.11914944604218713,0.09272875581337388,0.00048318135702285925,0,21,78
G23,0.11914944604218713,0.08792184314706429,0.0009036810677518624,0,32,68
G24,0.11914944604218713,0.09170976311675058,0.016781291760210985,0,27,72
G25,0.11914944604218713,0.08969914120206457,0.0009036810677518624,3,28,71
G26,0.11914944604218713,0.08444925190025124,0.0017472033477151472,1,36,63
G27,0.11914944604218713,0.08344728841598645,0.0017472033477151472,3,34,65
G28,0.11914944604218713,0.08613315186361074,0.0009036810677518624,1,30,69
G29,0.11914944604218713,0.0888482807194955,0.00048318135702285925,0,32,68
G30,0.11914944604218713,0.08973428197357934,0.00031796836904549107,0,24,76
G31,0.11914944604218713,0.09050281031770004,1.356957979045803e-05,0,29,70
G32,0.11914944604218713,0.08931905562509311,0.008868197423195136,0,31,68
G33,0.11914944604218713,0.09533344740601266,0.004795179494021303,1,23,76
G34,0.11914944604218713,0.09479506258591165,0.00048318135702285925,1,25,75
G35,0.11914944604218713,0.09288754139884026,0.00048318135702285925,0,19,80
G36,0.11914944604218713,0.08521289640395523,0.00048318135702285925,0,36,64
G37,0.11914944604218713,0.08422150901361203,0.0002188766282482655,0,36,64
G38,0.11914944604218713,0.09391005536013088,0.0002188766282482655,2,21,78
G39,0.11914944604218713,0.08778347978606671,0.00031796836904549107,0,32,68
G40,0.11914944604218713,0.08896923009735237,0.016781291760210985,0,31,68
G41,0.11914944604218713,0.08793701710652164,0.005301518880280824,0,28,71
G42,0.11914944604218713,0.08553161729449296,0.00048318135702285925,2,35,64
G43,0.11914944604218713,0.0898820916870799,0.00048318135702285925,1,24,75
G44,0.11914944604218713,0.08485371557318327,0.0009036810677518624,1,37,62
G45,0.11914944604218713,0.08593903772096505,0.00048318135702285925,2,38,62
G46,0.11914944604218713,0.08853972977601161,0.0012940641521512217,1,32,68
G47,0.11914944604218713,0.08993700968007509,0.00048318135702285925,1,31,68
G48,0.11914944604218713,0.09187691308729405,0.0017472033477151472,0,27,73
G49,0.11914944604218713,0.09292906876350013,0.00048318135702285925,1,25,75
T,0.17871023341808764,0,0,0,0,0
# --- 19.623006105422974 seconds ---
