# {'seed': 252740, 'leaf_prob': 0.4, 'mutation_prob': 0.3, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.08415475742128092,0.022541012471558992,0.00021625346711387603,34,53,46
G1,0.08415475742128092,0.02781186690902791,0.00048318135702285925,21,51,48
G2,0.08415475742128092,0.030577383674343563,0.00048318135702285925,21,48,51
G3,0.08415475742128092,0.03295757253206425,0.00031796836904549107,24,44,55
G4,0.08415475742128092,0.03528983884230569,0.00048318135702285925,20,50,49
G5,0.08415475742128092,0.038001562581755105,0.00048318135702285925,17,34,65
G6,0.0960613170865325,0.03422379476284884,0.00031796836904549107,12,52,47
G7,0.0960613170865325,0.03768930105947322,5.514778287443675e-06,12,49,50
G8,0.0960613170865325,0.04100805910094446,0.00031796836904549107,10,48,51
G9,0.10563401786440331,0.04245465033097575,0.004022814419889149,4,49,50
G10,0.17607709590189274,0.04266823132523061,0.00031796836904549107,6,53,46
G11,0.17607709590189274,0.04681965097141338,0.00031796836904549107,5,46,53
G12,0.17607709590189274,0.04718787324868,1.356957979045803e-05,1,51,48
G13,0.17607709590189274,0.04875328421968751,5.514778287443675e-06,2,43,56
G14,0.17607709590189274,0.04769171021780005,2.5383490428103392e-05,1,50,49
G15,0.17607709590189274,0.04698051015072242,2.723947181737696e-06,2,52,47
G16,0.17607709590189274,0.0571189303029061,0.00031796836904549107,1,53,46
G17,0.17607709590189274,0.06459577182845638,7.827902127537426e-05,2,33,66
G18,0.17607709590189274,0.05339156044751684,0.00021625346711387603,2,57,42
G19,0.17607709590189274,0.06420960691226299,1.356957979045803e-05,2,45,54
G20,0.2269377666679807,0.06401733496538319,0.00048318135702285925,2,43,56
G21,0.2269377666679807,0.06284090592985833,5.2901385276787945e-05,2,48,51
G22,0.2269377666679807,0.07167713959663508,0.00031796836904549107,2,38,61
G23,0.2269377666679807,0.05577276726236754,0.00048318135702285925,0,53,46
G24,0.2269377666679807,0.07293590193482809,0.00039650139568418974,2,55,44
G25,0.2269377666679807,0.09003426598481377,0.0007702349788820684,4,46,53
G26,0.2269377666679807,0.0967036977201423,9.599463642517377e-05,6,38,61
G27,0.2269377666679807,0.08497830626841668,0.00031796836904549107,2,45,54
G28,0.2269377666679807,0.07752676216599905,4.290012929824804e-05,2,53,46
G29,0.2269377666679807,0.08153550574484056,0.00048318135702285925,0,43,56
G30,0.2269377666679807,0.07818570963788166,0.00048318135702285925,3,33,66
G31,0.2269377666679807,0.07023042692884635,0.00048318135702285925,0,50,49
G32,0.2269377666679807,0.07261985767395754,0.00031796836904549107,2,37,62
G33,0.2269377666679807,0.06897538572137572,0.0004462945456119166,2,50,49
G34,0.2269377666679807,0.07793463509063862,0.00048318135702285925,4,55,44
G35,0.2269377666679807,0.08558941919486995,0.00031796836904549107,2,45,54
G36,0.2269377666679807,0.08833004782860918,0.00048318135702285925,4,44,55
G37,0.2269377666679807,0.09291594275501304,0.00048318135702285925,4,52,47
G38,0.2269377666679807,0.09115310590816472,0.00048318135702285925,3,46,53
G39,0.2269377666679807,0.08048710619433716,2.5383490428103392e-05,0,50,49
G40,0.2269377666679807,0.0832111011794011,1.356957979045803e-05,1,48,51
G41,0.2269377666679807,0.07911091644082234,0.00048318135702285925,3,48,51
G42,0.2269377666679807,0.08493249302181528,1.356957979045803e-05,4,55,44
G43,0.2269377666679807,0.08991845842175362,4.09297286671355e-05,1,51,48
G44,0.2269377666679807,0.09492041619360393,0.0006797585828502657,2,50,49
G45,0.2269377666679807,0.09158435477547659,0.00048318135702285925,1,54,45
