Generation,BestFit,AvgFit,WorstFit
G0,0.07190575805002825,0.021635008026135577,0.00031796836904549107
G1,0.08687012205069386,0.02171474087585098,1.356957979045803e-05
G2,0.0960613170865325,0.01997276614774212,0.00031796836904549107
G3,0.0960613170865325,0.01930525579754495,0.00048318135702285925
G4,0.0960613170865325,0.02177273327538483,1.356957979045803e-05
G5,0.0960613170865325,0.021889603789096945,4.09297286671355e-05
G6,0.0960613170865325,0.019638019662234038,0.00031796836904549107
G7,0.0960613170865325,0.020424410946725664,0.00048318135702285925
G8,0.0960613170865325,0.02085844038988778,0.00048318135702285925
G9,0.0960613170865325,0.023222687528545366,5.514778287443675e-06
G10,0.0960613170865325,0.020777474641971754,0.00031796836904549107
G11,0.0960613170865325,0.01922958785090306,2.5383490428103392e-05
G12,0.10563401786440331,0.022985701128800762,1.356957979045803e-05
G13,0.10563401786440331,0.022061808181429988,0.00031796836904549107
G14,0.10563401786440331,0.021461605619603138,1.356957979045803e-05
G15,0.10563401786440331,0.02163280874207809,0.00048318135702285925
G16,0.10563401786440331,0.021148168559657038,0.00048318135702285925
G17,0.10563401786440331,0.017772950699124254,0.00031796836904549107
G18,0.10563401786440331,0.023697689382936486,1.356957979045803e-05
G19,0.10563401786440331,0.020811837897212537,5.514778287443675e-06
G20,0.10563401786440331,0.02069128941841176,0.00048318135702285925
G21,0.10563401786440331,0.020989109119392953,2.5383490428103392e-05
G22,0.10563401786440331,0.021302194230399016,0.00048318135702285925
G23,0.12380138036917034,0.022415855569438183,0.00018744445845371883
G24,0.12380138036917034,0.021244761544585638,0.00031796836904549107
G25,0.12380138036917034,0.019732351033032492,1.356957979045803e-05
G26,0.12380138036917034,0.02022591625100274,0.00021625346711387603
G27,0.12380138036917034,0.020989575217261608,4.09297286671355e-05
G28,0.12380138036917034,0.022433991331170664,0.00031796836904549107
G29,0.12380138036917034,0.020757381119227532,0.00031796836904549107
G30,0.12380138036917034,0.02200387567987282,0.00048318135702285925
G31,0.12380138036917034,0.022136516208123274,0.00042158729847655317
G32,0.12380138036917034,0.020213487423494894,0.00043746016120260685
G33,0.12380138036917034,0.021264916158656697,0.00048318135702285925
G34,0.12380138036917034,0.025803807352953453,0.00048318135702285925
G35,0.12380138036917034,0.025223632454935096,1.356957979045803e-05
G36,0.12380138036917034,0.021482261152744396,0.00018026137281056603
G37,0.12380138036917034,0.021492346935520757,0.00043746016120260685
G38,0.12380138036917034,0.020418468244166946,0.00048318135702285925
G39,0.12380138036917034,0.020405698172162104,0.00042158729847655317
G40,0.12915823326263912,0.019688569244460795,0.00031796836904549107
G41,0.12915823326263912,0.022823884159131103,0.00031796836904549107
G42,0.12915823326263912,0.02206324071734855,0.00018744445845371883
G43,0.12915823326263912,0.025003730098076268,4.09297286671355e-05
G44,0.12915823326263912,0.021118182452422318,0.00031796836904549107
G45,0.12915823326263912,0.021054150801680386,1.356957979045803e-05
G46,0.12915823326263912,0.021081232752302795,4.09297286671355e-05
G47,0.12915823326263912,0.01910500231529334,0.00048318135702285925
G48,0.12915823326263912,0.018969588447595432,0.00031796836904549107
G49,0.12915823326263912,0.02142732957597644,1.356957979045803e-05
G50,0.12915823326263912,0.02260302176304553,0.00048318135702285925
G51,0.12915823326263912,0.022815727403320798,0.00048318135702285925
G52,0.12915823326263912,0.023089446608029494,0.00048318135702285925
G53,0.12915823326263912,0.021488891444038215,0.00048318135702285925
G54,0.12915823326263912,0.01963462932573067,0.00031796836904549107
G55,0.12915823326263912,0.02052704596586864,0.00031796836904549107
G56,0.12915823326263912,0.022561710709951544,0.00048318135702285925
G57,0.12915823326263912,0.021486723689833117,0.00048318135702285925
G58,0.12915823326263912,0.02042267672648944,1.356957979045803e-05
G59,0.12915823326263912,0.02202092985983758,4.09297286671355e-05
G60,0.12915823326263912,0.022928594887399532,5.514778287443675e-06
G61,0.12915823326263912,0.022550656569042125,0.00048318135702285925
G62,0.12915823326263912,0.020563167113309015,0.00031796836904549107
G63,0.12915823326263912,0.023296826745821987,4.09297286671355e-05
G64,0.12915823326263912,0.019182620698878952,0.00031796836904549107
G65,0.12915823326263912,0.02169968503359474,0.00048318135702285925
G66,0.12915823326263912,0.021142910657620285,1.356957979045803e-05
G67,0.12915823326263912,0.02218766072497309,7.827902127537426e-05
G68,0.12915823326263912,0.023742244015100215,0.00031796836904549107
G69,0.12915823326263912,0.01946140381052999,0.00031796836904549107
G70,0.12915823326263912,0.021090875401713772,1.356957979045803e-05
G71,0.12915823326263912,0.021783795399057213,0.00031796836904549107
G72,0.12915823326263912,0.02218833320544087,0.00048318135702285925
G73,0.12915823326263912,0.020847589166553465,4.09297286671355e-05
G74,0.12915823326263912,0.021428974172182768,1.356957979045803e-05
G75,0.12915823326263912,0.019173271459539037,0.00048318135702285925
G76,0.12915823326263912,0.022050541604023775,0.00031796836904549107
G77,0.12915823326263912,0.020137207458092565,0.00031796836904549107
G78,0.14152234824124107,0.025400099670677027,1.356957979045803e-05
G79,0.14152234824124107,0.019589384549887134,0.00048318135702285925
G80,0.14152234824124107,0.023345073874015222,1.356957979045803e-05
G81,0.14152234824124107,0.0194225685895685,0.00048318135702285925
G82,0.14152234824124107,0.020543620619938058,0.00048318135702285925
G83,0.14152234824124107,0.02039535895936533,0.00048318135702285925
G84,0.14152234824124107,0.022220452272447067,0.00048318135702285925
G85,0.14152234824124107,0.020362945415688633,1.356957979045803e-05
G86,0.14152234824124107,0.022682629255875154,0.00048318135702285925
G87,0.14152234824124107,0.020213312849860686,0.00048318135702285925
