# {'seed': 411871, 'leaf_prob': 0.1, 'swap_terminal_prob': 0.4, 'swap_operator_prob': 0.4, 'crossover_prob': 0.5, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 50, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.05921276605688419,0.01858391866884137,3.803410188467457e-05,10,56,43
G1,0.07190575805002825,0.025185183740934005,0.00048318135702285925,1,50,50
G2,0.14152234824124107,0.02903839495066309,0.00048318135702285925,1,57,42
G3,0.14152234824124107,0.03274719230041048,1.356957979045803e-05,1,42,57
G4,0.14152234824124107,0.03339112526100283,0.00048318135702285925,0,50,50
G5,0.14152234824124107,0.036784164911165776,0.00031796836904549107,0,59,41
G6,0.14152234824124107,0.045983162636551986,0.0017472033477151472,0,56,43
G7,0.14152234824124107,0.05173356295307606,0.0012257413613536066,1,50,49
G8,0.14152234824124107,0.05596275872974517,0.0037535369217872893,1,56,43
G9,0.14152234824124107,0.06251445930720019,0.0009036810677518624,1,51,48
G10,0.14152234824124107,0.06492049970826287,0.016781291760210985,0,29,70
G11,0.14152234824124107,0.06288476706070255,0.0017472033477151472,1,32,67
G12,0.14152234824124107,0.0663063515246317,0.008868197423195136,0,24,75
G13,0.14152234824124107,0.06798182275973826,0.008293372272502453,2,12,87
G14,0.14152234824124107,0.0637124786573185,0.00048318135702285925,1,26,74
G15,0.14152234824124107,0.06591069783136343,5.514778287443675e-06,0,16,83
G16,0.14152234824124107,0.06438287645250426,0.0035719888987270068,1,24,76
G17,0.14152234824124107,0.06518747245277792,0.00048318135702285925,0,20,79
G18,0.14152234824124107,0.06286117001616835,0.0012940641521512217,0,26,73
G19,0.14152234824124107,0.06610257964529899,0.005301518880280824,1,19,80
G20,0.14152234824124107,0.07006331078160984,0.007749803551499678,2,12,88
G21,0.14152234824124107,0.06706656529114623,0.00048318135702285925,0,14,85
G22,0.14152234824124107,0.06253085557578883,0.00048318135702285925,0,20,79
G23,0.14152234824124107,0.05935227705079422,0.00048318135702285925,3,34,65
G24,0.14152234824124107,0.062185860488545144,0.00048318135702285925,0,27,73
G25,0.14152234824124107,0.06249625737777427,0.008293372272502453,1,30,69
G26,0.14152234824124107,0.06483061513240593,0.00737806273784233,0,28,72
G27,0.14152234824124107,0.06595784778982025,0.0035719888987270068,1,19,81
G28,0.14152234824124107,0.06512730419091828,0.0035719888987270068,0,31,68
G29,0.14152234824124107,0.06620220331121893,0.00048318135702285925,0,23,76
G30,0.14152234824124107,0.06466938182785405,0.00043746016120260685,1,24,76
G31,0.14152234824124107,0.06342975994892913,0.0009036810677518624,1,24,75
G32,0.14152234824124107,0.06439007365269282,0.002404721902702464,0,28,72
G33,0.14152234824124107,0.06346410648366133,0.00048318135702285925,1,27,72
G34,0.14152234824124107,0.06316130729187495,0.005301518880280824,0,32,68
G35,0.14152234824124107,0.06479799555125193,0.0009036810677518624,0,26,73
G36,0.158915333219876,0.06142705479534863,1.2040300767436537e-05,1,37,63
G37,0.158915333219876,0.06651124801238462,1.356957979045803e-05,0,28,71
G38,0.158915333219876,0.06902883438331552,0.001668923246851492,1,24,75
G39,0.17607709590189274,0.07008779401980235,4.09297286671355e-05,0,28,71
G40,0.17607709590189274,0.06449689915789376,0.00048318135702285925,1,42,57
G41,0.17607709590189274,0.0641254677675896,0.00048318135702285925,0,40,59
G42,0.17607709590189274,0.06539804058714876,0.00048318135702285925,0,45,55
G43,0.17607709590189274,0.06755937551312062,0.00031796836904549107,1,48,51
G44,0.17607709590189274,0.07305885780635402,4.09297286671355e-05,1,46,53
G45,0.17607709590189274,0.07659001693907927,0.00031796836904549107,0,49,50
G46,0.17607709590189274,0.08157378227981905,0.00031796836904549107,4,50,50
G47,0.17607709590189274,0.08364068033427156,0.00031796836904549107,1,53,47
G48,0.17607709590189274,0.0916600754811951,0.00048318135702285925,1,48,51
G49,0.17607709590189274,0.0899264709414207,5.514778287443675e-06,2,55,45
T,0.00878405287695474,0,0,0,0,0
# --- 16.921130180358887 seconds ---
