# {'seed': 773469, 'leaf_prob': 0.1, 'mutation_prob': 0.3, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.6, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.07190575805002825,0.021007711767436828,0.00018744445845371883,4,47,52
G1,0.07190575805002825,0.024227379420604697,0.00031796836904549107,8,53,46
G2,0.07190575805002825,0.030378157075740854,0.00031796836904549107,15,45,54
G3,0.07190575805002825,0.03026335737833777,0.00048318135702285925,13,52,47
G4,0.07190575805002825,0.03184626100846367,0.00031796836904549107,18,55,44
G5,0.07190575805002825,0.03495195194295243,0.00048318135702285925,13,48,51
G6,0.07333484715261304,0.03618762584545609,5.514778287443675e-06,7,51,48
G7,0.07333484715261304,0.040610454804598566,0.00048318135702285925,16,43,56
G8,0.07333484715261304,0.04087060502996457,0.00048318135702285925,11,47,52
G9,0.07333484715261304,0.041096731232622155,1.356957979045803e-05,10,50,49
G10,0.08687012205069386,0.04353426800200162,0.00048318135702285925,14,50,49
G11,0.10563401786440331,0.04988422865166739,0.0009036810677518624,13,46,53
G12,0.10563401786440331,0.050411038775290316,0.00031796836904549107,10,43,56
G13,0.10563401786440331,0.055375652262704474,0.00043746016120260685,10,38,61
G14,0.10563401786440331,0.052470161527777164,1.356957979045803e-05,3,43,56
G15,0.10563401786440331,0.05416634187437268,0.00048318135702285925,6,43,56
G16,0.10563401786440331,0.060159810327566114,0.00048318135702285925,10,37,62
G17,0.10563401786440331,0.05661310875515278,4.09297286671355e-05,9,47,52
G18,0.10563401786440331,0.06525456946496992,0.00031796836904549107,9,48,51
G19,0.10563401786440331,0.06971302474887006,0.00043746016120260685,7,44,55
G20,0.10563401786440331,0.0708476382509283,0.00031796836904549107,7,45,54
G21,0.12380138036917034,0.07325786817164795,0.00031796836904549107,5,40,59
G22,0.12380138036917034,0.0724768610917403,0.00048318135702285925,3,50,49
G23,0.12380138036917034,0.08556041949239152,0.0017472033477151472,7,32,67
G24,0.12380138036917034,0.09014325567487581,0.003232970128446159,11,26,73
G25,0.12380138036917034,0.09182713900855786,0.00043746016120260685,8,24,75
G26,0.12380138036917034,0.08520284446537493,0.0003724164741206029,6,35,64
G27,0.12380138036917034,0.082113990116693,0.00021625346711387603,4,40,59
G28,0.12380138036917034,0.08405362880891644,0.00048318135702285925,11,40,59
G29,0.14152234824124107,0.08786545984052845,0.00048318135702285925,11,45,54
G30,0.14152234824124107,0.08757930067220293,0.00048318135702285925,6,36,63
G31,0.14152234824124107,0.08820011876080457,0.00048318135702285925,11,44,55
G32,0.14152234824124107,0.09464153749233559,0.00031796836904549107,8,28,71
G33,0.14152234824124107,0.0855870867719125,4.09297286671355e-05,4,41,58
G34,0.14152234824124107,0.08859393860340237,0.00031796836904549107,11,42,57
G35,0.14152234824124107,0.0899363977148327,0.0017472033477151472,6,48,51
G36,0.14152234824124107,0.0933071778431479,0.0063407713228663155,3,49,50
G37,0.158915333219876,0.0917755260412612,2.5383490428103392e-05,9,49,50
G38,0.158915333219876,0.09294740183420837,0.00048318135702285925,3,51,48
G39,0.158915333219876,0.09262726164500362,0.00048318135702285925,6,41,58
G40,0.158915333219876,0.09467882286781118,0.00020485392158005666,12,46,53
G41,0.158915333219876,0.10053141834678586,0.0017815006030053493,7,41,58
G42,0.1930891175861288,0.09210917704844312,0.00020485392158005666,6,53,46
G43,0.1930891175861288,0.09261572345106378,0.00031796836904549107,8,46,53
G44,0.1930891175861288,0.09726149461565009,0.00048318135702285925,10,38,61
G45,0.1930891175861288,0.08949896658326781,0.00048318135702285925,5,44,55
G46,0.1930891175861288,0.0924027070848756,0.00020485392158005666,10,47,52
G47,0.1930891175861288,0.08865075968623878,0.00048318135702285925,6,47,52
G48,0.1930891175861288,0.09301790362677903,0.00048318135702285925,7,43,56
G49,0.1930891175861288,0.09792794595455488,0.00048318135702285925,8,42,57
G50,0.1930891175861288,0.09194783929016395,0.00031796836904549107,9,46,53
G51,0.1930891175861288,0.09531817532608847,0.00048318135702285925,10,47,52
G52,0.1930891175861288,0.09401818212196439,0.00048318135702285925,9,49,50
G53,0.1930891175861288,0.09895838248058098,0.0017472033477151472,13,47,52
G54,0.1930891175861288,0.09368262077361521,0.00048318135702285925,5,48,51
G55,0.1930891175861288,0.09209211172539794,0.00031796836904549107,3,55,44
G56,0.1930891175861288,0.09477032708125192,0.00048318135702285925,9,44,55
G57,0.1930891175861288,0.09756655386670347,0.00031796836904549107,8,52,47
G58,0.1930891175861288,0.09975439944364618,0.00048318135702285925,9,46,53
G59,0.1930891175861288,0.10485678467990697,0.00048318135702285925,6,44,55
G60,0.1930891175861288,0.10176999580296271,0.00048318135702285925,11,42,57
G61,0.1930891175861288,0.09566556931805598,0.00031796836904549107,10,45,54
G62,0.1930891175861288,0.09580992157516127,0.00031796836904549107,11,45,54
G63,0.19387459982029692,0.09585649895491763,0.00031796836904549107,12,45,54
G64,0.19387459982029692,0.09544052786342874,7.827902127537426e-05,16,39,60
G65,0.19387459982029692,0.09304705613140203,0.00031796836904549107,12,45,54
G66,0.19387459982029692,0.09323130337045259,0.00048318135702285925,5,49,50
G67,0.19387459982029692,0.10061332844514581,0.00048318135702285925,12,52,47
G68,0.19387459982029692,0.11023463791395632,0.00048318135702285925,17,55,44
G69,0.19387459982029692,0.12053117811094122,0.00048318135702285925,18,40,59
G70,0.2100218631442403,0.110908393750277,0.00031796836904549107,13,45,54
G71,0.2100218631442403,0.11077466923225421,0.00048318135702285925,6,44,55
G72,0.2100218631442403,0.11394106887592943,0.00048318135702285925,13,47,52
G73,0.2100218631442403,0.11038368300171662,0.0009036810677518624,6,53,46
G74,0.2100218631442403,0.11805144646421141,0.0009036810677518624,6,48,51
G75,0.2100218631442403,0.11375190710582798,0.00048318135702285925,3,39,60
G76,0.2100218631442403,0.10077359500071381,0.00031796836904549107,8,50,49
G77,0.2100218631442403,0.1030571629063001,0.001430278356734179,4,50,49
G78,0.2100218631442403,0.09994995023467594,0.00031796836904549107,7,51,48
G79,0.2100218631442403,0.10277737454842564,1.356957979045803e-05,8,50,49
G80,0.2100218631442403,0.11674670069675226,0.00048318135702285925,11,43,56
G81,0.2100218631442403,0.11778600139203776,0.0001675454098696106,11,48,51
G82,0.2100218631442403,0.1125363106820541,0.00048318135702285925,9,45,54
G83,0.2105048768581526,0.10685744041109191,0.00048318135702285925,4,46,53
G84,0.2105048768581526,0.10629644657263855,0.00048318135702285925,9,51,48
G85,0.2105048768581526,0.10956862700728824,0.008868197423195136,16,46,53
G86,0.2105048768581526,0.10783358982218541,0.00031796836904549107,10,50,49
G87,0.2105048768581526,0.11708095839087619,0.00031796836904549107,6,42,57
G88,0.2105048768581526,0.10533533525080024,0.00048318135702285925,6,45,54
G89,0.2105048768581526,0.11552919674275897,0.00048318135702285925,10,44,55
G90,0.2105048768581526,0.10995807937108262,0.00048318135702285925,11,54,45
G91,0.2105048768581526,0.11865772028206084,0.00048318135702285925,11,49,50
G92,0.2105048768581526,0.1263762753420772,0.00048318135702285925,12,45,54
G93,0.2105048768581526,0.11873583465672784,0.0017472033477151472,10,39,60
G94,0.2105048768581526,0.1133653097937948,0.00048318135702285925,11,51,48
G95,0.2105048768581526,0.12794569104170972,0.00048318135702285925,9,38,61
G96,0.2105048768581526,0.11834613520698073,0.0017472033477151472,4,60,39
G97,0.2105048768581526,0.1302429804220175,0.00048318135702285925,10,46,53
G98,0.2105048768581526,0.12851194033618063,1.356957979045803e-05,8,41,58
G99,0.2105048768581526,0.11893210403471371,0.00031796836904549107,4,50,49
T,0.06876466356517148,0,0,0,0,0
# --- 35.73624110221863 seconds ---
