# {'seed': 971708, 'leaf_prob': 0.1, 'mutation_prob': 0.05, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 500, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.10563401786440331,0.02057192927642179,0.00012221647083594456,42,269,230
G1,0.10563401786440331,0.024465329713777642,0.00031796836904549107,34,266,233
G2,0.10563401786440331,0.027478341327380626,0.00031796836904549107,33,273,226
G3,0.10563401786440331,0.03151518391131312,0.00048318135702285925,29,270,229
G4,0.1930891175861288,0.03615188097561082,0.00048318135702285925,21,264,235
G5,0.1930891175861288,0.041645369284827365,0.00048318135702285925,21,259,240
G6,0.1930891175861288,0.0472454948945772,0.00031796836904549107,13,248,251
G7,0.1930891175861288,0.05111422714905506,0.00048318135702285925,15,263,236
G8,0.1930891175861288,0.059900114422945364,1.356957979045803e-05,13,272,227
G9,0.1930891175861288,0.0671827424593709,4.09297286671355e-05,13,267,232
G10,0.2269377666679807,0.07433780781450917,5.514778287443675e-06,10,241,258
G11,0.2269377666679807,0.07652024046217362,0.00018744445845371883,16,239,260
G12,0.2269377666679807,0.08092814432039158,1.356957979045803e-05,12,230,269
G13,0.2269377666679807,0.08443086462484407,1.356957979045803e-05,15,227,272
G14,0.2269377666679807,0.09087588456218733,4.09297286671355e-05,9,162,337
G15,0.2269377666679807,0.08888527152281964,1.356957979045803e-05,7,195,304
G16,0.2269377666679807,0.09033827971116304,4.09297286671355e-05,16,187,312
G17,0.2269377666679807,0.09495665684145467,0.00048318135702285925,8,155,344
G18,0.2269377666679807,0.09403795418292313,3.2536703896502556e-05,4,166,333
G19,0.2269377666679807,0.09349328473676881,0.00031796836904549107,9,191,308
G20,0.2269377666679807,0.09633681541824062,4.09297286671355e-05,8,195,304
G21,0.2269377666679807,0.09860268987413744,5.514778287443675e-06,1,172,327
G22,0.2269377666679807,0.09689170839081301,0.00048318135702285925,5,195,304
G23,0.2269377666679807,0.0997775910345863,0.00048318135702285925,4,211,288
G24,0.2269377666679807,0.10114690316793246,4.09297286671355e-05,16,214,285
G25,0.2269377666679807,0.10344973493759235,0.00018744445845371883,8,217,282
G26,0.2269377666679807,0.10351999164948306,0.00048318135702285925,10,211,288
G27,0.2269377666679807,0.099998720203941,4.09297286671355e-05,7,244,255
G28,0.2269377666679807,0.10281430755145082,0.00018744445845371883,11,233,266
G29,0.24389340781837832,0.10160851781815608,4.09297286671355e-05,7,240,259
G30,0.24389340781837832,0.10156597132891644,0.00018744445845371883,8,244,255
G31,0.24389340781837832,0.10347538134118618,5.514778287443675e-06,11,240,259
G32,0.24389340781837832,0.1029246542802381,0.00048318135702285925,9,251,248
G33,0.24389340781837832,0.10717976332531938,3.2536703896502556e-05,11,246,253
G34,0.24389340781837832,0.10572357055889953,1.356957979045803e-05,5,262,237
G35,0.24389340781837832,0.10728440632156111,0.00031796836904549107,10,260,239
G36,0.24389340781837832,0.10932742530361826,0.00031796836904549107,10,252,247
G37,0.24389340781837832,0.11220471767481974,4.09297286671355e-05,11,238,261
G38,0.24389340781837832,0.10847466459733152,4.09297286671355e-05,6,265,234
G39,0.24389340781837832,0.11000221827180649,4.09297286671355e-05,12,250,249
G40,0.24389340781837832,0.11358413356411985,0.00020485392158005666,13,245,254
G41,0.24389340781837832,0.11430784633263266,0.00048318135702285925,12,231,268
G42,0.24389340781837832,0.1139187673951045,1.356957979045803e-05,9,255,244
G43,0.24389340781837832,0.11514178342677231,5.514778287443675e-06,12,254,245
G44,0.24389340781837832,0.11179174426173444,0.00020485392158005666,6,263,236
G45,0.24389340781837832,0.11841225405474384,0.00031796836904549107,10,265,234
G46,0.24389340781837832,0.12441831092575613,2.5383490428103392e-05,9,245,254
G47,0.24389340781837832,0.12530413553317818,4.09297286671355e-05,10,260,239
G48,0.24389340781837832,0.12376797048501768,0.00031796836904549107,12,251,248
G49,0.24389340781837832,0.12146167864124786,7.256214972115208e-05,9,252,247
G50,0.24389340781837832,0.12368228334384025,4.09297286671355e-05,17,242,257
G51,0.24389340781837832,0.12003192465173464,1.356957979045803e-05,8,279,220
G52,0.24389340781837832,0.12993849898665294,5.514778287443675e-06,9,266,233
G53,0.24389340781837832,0.13544581255287455,1.356957979045803e-05,6,254,245
G54,0.24389340781837832,0.12972719911311112,2.723947181737696e-06,9,271,228
G55,0.24389340781837832,0.1344403982092598,0.00012221647083594456,6,249,250
G56,0.24389340781837832,0.13149348259965166,4.09297286671355e-05,8,271,228
G57,0.24389340781837832,0.1343210151232048,4.09297286671355e-05,6,285,214
G58,0.24389340781837832,0.1414889348026203,4.09297286671355e-05,11,288,211
G59,0.24389340781837832,0.14095638313870812,3.143036271245386e-06,12,269,230
G60,0.24389340781837832,0.143847968528006,5.514778287443675e-06,12,260,239
G61,0.24389340781837832,0.13958453874350024,5.514778287443675e-06,9,279,220
G62,0.24389340781837832,0.14260506149564692,1.356957979045803e-05,17,250,249
G63,0.24389340781837832,0.13895582780151625,0.00018744445845371883,16,261,238
G64,0.24389340781837832,0.14079457467168977,6.232449021384381e-16,15,272,227
G65,0.24389340781837832,0.1428297457509888,0.00018744445845371883,16,253,246
G66,0.24389340781837832,0.1410893543159121,2.5383490428103392e-05,9,259,240
G67,0.24389340781837832,0.1389905593880111,4.09297286671355e-05,13,267,232
G68,0.24389340781837832,0.13914055090386881,2.5383490428103392e-05,13,268,231
G69,0.24389340781837832,0.14034983878071755,5.514778287443675e-06,22,256,243
G70,0.24389340781837832,0.13687746757440877,1.356957979045803e-05,8,254,245
G71,0.24389340781837832,0.13383053713954643,7.827902127537426e-05,8,262,237
G72,0.24389340781837832,0.13783850007248225,5.514778287443675e-06,10,273,226
G73,0.24389340781837832,0.1414843195037085,1.356957979045803e-05,14,250,249
G74,0.24389340781837832,0.14104699800374068,1.356957979045803e-05,9,257,242
G75,0.24389340781837832,0.14376367031286177,1.356957979045803e-05,12,277,222
G76,0.24389340781837832,0.1499807799291024,5.514778287443675e-06,17,254,245
G77,0.24389340781837832,0.14435562429371554,3.143036271245386e-06,10,269,230
G78,0.24389340781837832,0.14829078437297408,1.356957979045803e-05,8,254,245
G79,0.24389340781837832,0.14208494659528392,0.00048318135702285925,10,243,256
G80,0.24389340781837832,0.14254391405482017,0.00048318135702285925,10,248,251
G81,0.24389340781837832,0.14311742600824454,1.356957979045803e-05,10,248,251
G82,0.24389340781837832,0.14378770419980538,0.00031796836904549107,7,241,258
G83,0.24389340781837832,0.1413194508199678,2.5383490428103392e-05,11,265,234
G84,0.24389340781837832,0.148698852675945,1.356957979045803e-05,8,245,254
G85,0.24389340781837832,0.1483298680382941,2.5383490428103392e-05,4,248,251
G86,0.24389340781837832,0.14740041017205516,5.514778287443675e-06,4,243,256
G87,0.24389340781837832,0.14445864170184972,1.356957979045803e-05,5,247,252
G88,0.24389340781837832,0.14165190134514727,5.514778287443675e-06,12,253,246
G89,0.24389340781837832,0.1410327621249194,1.356957979045803e-05,6,281,218
G90,0.24389340781837832,0.152245236769354,0.00020485392158005666,9,250,249
G91,0.24389340781837832,0.14961339482203892,0.00020485392158005666,7,250,249
G92,0.24389340781837832,0.14490926121093395,4.09297286671355e-05,5,266,233
G93,0.24389340781837832,0.1547088413404946,1.356957979045803e-05,12,249,250
G94,0.24389340781837832,0.15390262939043253,0.00031796836904549107,9,255,244
G95,0.24389340781837832,0.15089933194975805,0.00018744445845371883,6,243,256
G96,0.24389340781837832,0.14408260491281463,0.00048318135702285925,5,270,229
G97,0.24389340781837832,0.14561313138166626,4.09297286671355e-05,10,249,250
G98,0.24389340781837832,0.14422276836111103,0.00031796836904549107,9,265,234
G99,0.24389340781837832,0.14675205043106773,1.356957979045803e-05,14,249,250
T,0.12562537992157202,0,0,0,0,0
# --- 165.63129305839539 seconds ---
